source_event_id,f_nv,start_sample_index,end_sample_index,raw_sample_count
145,0,62607,62608,2
146,4,62609,62609,1
147,0,62610,62610,1
148,4,62611,62616,6
149,0,62617,62648,32
150,4,62649,62649,1
151,0,62650,114334,51685
152,4,114335,114337,3
153,0,114338,114390,53
154,4,114391,114391,1
155,0,114392,114406,15
156,4,114407,114407,1
157,0,114408,114416,9
158,4,114417,114417,1
159,0,114418,114427,10
160,4,114428,114428,1
161,0,114429,114438,10
162,4,114439,114439,1
163,0,114440,114445,6
164,4,114446,114446,1
165,0,114447,114458,12
166,4,114459,114459,1
167,0,114460,114471,12
168,4,114472,114472,1
169,0,114473,114480,8
170,4,114481,114481,1
171,0,114482,114482,1
172,4,114483,114485,3
173,0,114486,114489,4
174,4,114490,114490,1
175,0,114491,114497,7
176,4,114498,114498,1
177,0,114499,114499,1
178,4,114500,114500,1
179,0,114501,114502,2
180,4,114503,114504,2
181,0,114505,114522,18
182,4,114523,114524,2
183,0,114525,114525,1
184,4,114526,114528,3
185,0,114529,114529,1
186,4,114530,114530,1
187,0,114531,114533,3
188,4,114534,114535,2
189,0,114536,114536,1
190,4,114537,114537,1
191,0,114538,114538,1
192,4,114539,114539,1
193,0,114540,114541,2
194,4,114542,114548,7
195,0,114549,114550,2
196,4,114551,114556,6
197,0,114557,114557,1
198,4,114558,114563,6
199,0,114564,114566,3
200,4,114567,114578,12
201,0,114579,114579,1
202,4,114580,114583,4
203,0,114584,114584,1
204,4,114585,114585,1
205,0,114586,114589,4
206,4,114590,114590,1
207,0,114591,114591,1
208,4,114592,114600,9
209,0,114601,114601,1
210,4,114602,114604,3
211,0,114605,114605,1
212,4,114606,114611,6
213,0,114612,114612,1
214,4,114613,114614,2
215,0,114615,114615,1
216,4,114616,114618,3
217,0,114619,114620,2
218,4,114621,114634,14
219,0,114635,114635,1
220,4,114636,114640,5
221,0,114641,114641,1
222,4,114642,114668,27
223,0,114669,114669,1
224,4,114670,114673,4
225,0,114674,114674,1
226,4,114675,114677,3
227,0,114678,114678,1
228,4,114679,114686,8
229,0,114687,114687,1
230,4,114688,114689,2
231,0,114690,114690,1
232,4,114691,114695,5
233,0,114696,114696,1
234,4,114697,114700,4
235,0,114701,114701,1
236,4,114702,114777,76
237,0,114778,114778,1
238,4,114779,120767,5989
239,0,120768,120799,32
240,4,120800,120817,18
241,0,120818,123516,2699
242,4,123517,124753,1237
243,0,124754,132731,7978
244,4,132732,132732,1
245,0,132733,133161,429
246,4,133162,133162,1
247,0,133163,134602,1440
248,4,134603,134603,1
249,0,134604,134606,3
250,4,134607,134607,1
251,0,134608,134608,1
252,4,134609,134609,1
253,0,134610,134610,1
254,4,134611,134621,11
255,0,134622,134622,1
256,4,134623,136087,1465
257,0,136088,138988,2901
258,4,138989,138990,2
259,0,138991,138991,1
260,4,138992,138993,2
261,0,138994,138994,1
262,4,138995,138996,2
263,0,138997,138997,1
264,4,138998,141841,2844
265,0,141842,141842,1
266,4,141843,144850,3008
267,0,144851,144851,1
268,4,144852,145219,368
269,0,145220,145220,1
270,4,145221,145260,40
271,0,145261,145261,1
272,4,145262,145273,12
273,0,145274,145274,1
274,4,145275,145291,17
275,0,145292,145292,1
276,4,145293,145295,3
277,0,145296,145296,1
278,4,145297,145299,3
279,0,145300,145300,1
280,4,145301,145322,22
281,0,145323,145323,1
282,4,145324,145342,19
283,0,145343,145343,1
284,4,145344,145350,7
285,0,145351,145351,1
286,4,145352,145353,2
287,0,145354,145355,2
288,4,145356,145358,3
289,0,145359,145359,1
290,4,145360,145375,16
291,0,145376,202094,56719
292,4,202095,202095,1
293,0,202096,203378,1283
294,4,203379,203462,84
295,0,203463,203489,27
296,4,203490,203490,1
297,0,203491,203492,2
298,4,203493,203493,1
299,0,203494,203494,1
300,4,203495,203496,2
301,0,203497,203499,3
302,4,203500,203500,1
303,0,203501,203502,2
304,4,203503,203503,1
305,0,203504,203506,3
306,4,203507,203511,5
307,0,203512,203512,1
308,4,203513,203515,3
309,0,203516,203517,2
310,4,203518,203518,1
311,0,203519,203520,2
312,4,203521,203524,4
313,0,203525,203525,1
314,4,203526,203527,2
315,0,203528,203529,2
316,4,203530,203530,1
317,0,203531,203532,2
318,4,203533,203533,1
319,0,203534,203534,1
320,4,203535,203535,1
321,0,203536,203537,2
322,4,203538,203538,1
323,0,203539,203550,12
324,4,203551,203551,1
325,0,203552,203603,52
326,4,203604,203604,1
327,0,203605,203617,13
328,4,203618,203618,1
329,0,203619,203623,5
330,4,203624,203625,2
331,0,203626,203627,2
332,4,203628,203628,1
333,0,203629,203630,2
334,4,203631,203638,8
335,0,203639,203639,1
336,4,203640,203643,4
337,0,203644,203644,1
338,4,203645,203657,13
339,0,203658,203658,1
340,4,203659,203660,2
341,0,203661,203661,1
342,4,203662,203662,1
343,0,203663,203663,1
344,4,203664,203664,1
345,0,203665,203665,1
346,4,203666,203676,11
347,0,203677,203677,1
348,4,203678,203678,1
349,0,203679,203687,9
350,4,203688,203688,1
351,0,203689,203977,289
352,4,203978,203978,1
353,0,203979,203982,4
354,4,203983,203983,1
355,0,203984,203988,5
356,4,203989,203999,11
357,0,204000,204001,2
358,4,204002,204038,37
359,0,204039,204047,9
360,4,204048,204048,1
361,0,204049,204089,41
362,4,204090,204090,1
363,0,204091,204091,1
364,4,204092,204093,2
365,0,204094,204099,6
366,4,204100,204100,1
367,0,204101,204102,2
368,4,204103,204103,1
369,0,204104,204104,1
370,4,204105,204105,1
371,0,204106,204106,1
372,4,204107,204107,1
373,0,204108,204111,4
374,4,204112,204112,1
375,0,204113,204125,13
376,4,204126,204126,1
377,0,204127,204184,58
378,4,204185,204185,1
379,0,204186,204197,12
380,4,204198,204198,1
381,0,204199,204216,18
382,4,204217,204217,1
383,0,204218,204221,4
384,4,204222,204223,2
385,0,204224,204225,2
386,4,204226,204226,1
387,0,204227,204244,18
388,4,204245,204245,1
389,0,204246,204291,46
390,4,204292,204292,1
391,0,204293,204300,8
392,4,204301,204301,1
393,0,204302,204307,6
394,4,204308,204308,1
395,0,204309,204324,16
396,4,204325,204325,1
397,0,204326,204326,1
398,4,204327,204327,1
399,0,204328,204330,3
400,4,204331,204332,2
401,0,204333,204335,3
402,4,204336,204337,2
403,0,204338,204338,1
404,4,204339,204342,4
405,0,204343,204343,1
406,4,204344,204344,1
407,0,204345,204345,1
408,4,204346,204347,2
409,0,204348,204348,1
410,4,204349,204358,10
411,0,204359,204361,3
412,4,204362,204362,1
413,0,204363,204363,1
414,4,204364,204364,1
415,0,204365,204365,1
416,4,204366,204366,1
417,0,204367,204367,1
418,4,204368,204374,7
419,0,204375,204375,1
420,4,204376,204541,166
421,0,204542,204542,1
422,4,204543,204579,37
423,0,204580,204581,2
424,4,204582,204659,78
425,0,204660,204660,1
426,4,204661,204663,3
427,0,204664,204666,3
428,4,204667,204671,5
429,0,204672,204673,2
430,4,204674,204769,96
431,0,204770,204774,5
432,4,204775,206171,1397
433,0,206172,206172,1
434,4,206173,206185,13
435,0,206186,206186,1
436,4,206187,206191,5
437,0,206192,206192,1
438,4,206193,206197,5
439,0,206198,206199,2
440,4,206200,206373,174
441,0,206374,206376,3
442,4,206377,206379,3
443,0,206380,206381,2
444,4,206382,206412,31
445,0,206413,206413,1
446,4,206414,206417,4
447,0,206418,206425,8
448,4,206426,206426,1
449,0,206427,206429,3
450,4,206430,206540,111
451,0,206541,206541,1
452,4,206542,206619,78
453,0,206620,206635,16
454,4,206636,206636,1
455,0,206637,206637,1
456,4,206638,208237,1600
457,0,208238,208239,2
458,4,208240,208240,1
459,0,208241,208243,3
460,4,208244,208244,1
461,0,208245,208248,4
462,4,208249,208249,1
463,0,208250,208256,7
464,4,208257,208257,1
465,0,208258,209820,1563
466,4,209821,209821,1
467,0,209822,209822,1
468,4,209823,211072,1250
469,0,211073,213003,1931
470,4,213004,213004,1
471,0,213005,221029,8025
472,4,221030,221030,1
473,0,221031,221034,4
474,4,221035,221331,297
475,0,221332,221332,1
476,4,221333,221641,309
477,0,221642,225387,3746
478,4,225388,225388,1
479,0,225389,225393,5
480,4,225394,225418,25
481,0,225419,225419,1
482,4,225420,231974,6555
483,0,231975,231975,1
484,4,231976,231977,2
485,0,231978,231978,1
486,4,231979,231981,3
487,0,231982,231982,1
488,4,231983,231983,1
489,0,231984,231985,2
490,4,231986,231986,1
491,0,231987,231993,7
492,4,231994,231994,1
493,0,231995,232004,10
494,4,232005,232005,1
495,0,232006,232015,10
496,4,232016,232016,1
497,0,232017,232029,13
498,4,232030,232030,1
499,0,232031,286848,54818
500,4,286849,286849,1
501,0,286850,286879,30
502,4,286880,286880,1
503,0,286881,286914,34
504,4,286915,286915,1
505,0,286916,286919,4
506,4,286920,286920,1
507,0,286921,286941,21
508,4,286942,286942,1
509,0,286943,286945,3
510,4,286946,286946,1
511,0,286947,286963,17
512,4,286964,286964,1
513,0,286965,286970,6
514,4,286971,286971,1
515,0,286972,286985,14
516,4,286986,286986,1
517,0,286987,286988,2
518,4,286989,286989,1
519,0,286990,286992,3
520,4,286993,286993,1
521,0,286994,287002,9
522,4,287003,287003,1
523,0,287004,287005,2
524,4,287006,287007,2
525,0,287008,287009,2
526,4,287010,287010,1
527,0,287011,287012,2
528,4,287013,287013,1
529,0,287014,287019,6
530,4,287020,287022,3
531,0,287023,287025,3
532,4,287026,287026,1
533,0,287027,287032,6
534,4,287033,287033,1
535,0,287034,287036,3
536,4,287037,287044,8
537,0,287045,287045,1
538,4,287046,287046,1
539,0,287047,287056,10
540,4,287057,287059,3
541,0,287060,287061,2
542,4,287062,287063,2
543,0,287064,287065,2
544,4,287066,287068,3
545,0,287069,287070,2
546,4,287071,287071,1
547,0,287072,287074,3
548,4,287075,287076,2
549,0,287077,287078,2
550,4,287079,287079,1
551,0,287080,287081,2
552,4,287082,287084,3
553,0,287085,287090,6
554,4,287091,287091,1
555,0,287092,287094,3
556,4,287095,287098,4
557,0,287099,287101,3
558,4,287102,287102,1
559,0,287103,287103,1
560,4,287104,287116,13
561,0,287117,287119,3
562,4,287120,287150,31
563,0,287151,287151,1
564,4,287152,287153,2
565,0,287154,287154,1
566,4,287155,287159,5
567,0,287160,287160,1
568,4,287161,287161,1
569,0,287162,287162,1
570,4,287163,287163,1
571,0,287164,287164,1
572,4,287165,287179,15
573,0,287180,287180,1
574,4,287181,292115,4935
575,0,292116,292116,1
576,4,292117,292120,4
577,0,292121,292121,1
578,4,292122,292122,1
579,0,292123,292125,3
580,4,292126,292126,1
581,0,292127,292726,600
582,4,292727,294119,1393
583,0,294120,294221,102
584,4,294222,294247,26
585,0,294248,294248,1
586,4,294249,294262,14
587,0,294263,294263,1
588,4,294264,294264,1
589,0,294265,294265,1
590,4,294266,294272,7
591,0,294273,294273,1
592,4,294274,294275,2
593,0,294276,294276,1
594,4,294277,294281,5
595,0,294282,294282,1
596,4,294283,294283,1
597,0,294284,294284,1
598,4,294285,294297,13
599,0,294298,294298,1
600,4,294299,294300,2
601,0,294301,294302,2
602,4,294303,294303,1
603,0,294304,294305,2
604,4,294306,294307,2
605,0,294308,294309,2
606,4,294310,294310,1
607,0,294311,294311,1
608,4,294312,294312,1
609,0,294313,294315,3
610,4,294316,294319,4
611,0,294320,294320,1
612,4,294321,294321,1
613,0,294322,294322,1
614,4,294323,294324,2
615,0,294325,294330,6
616,4,294331,294331,1
617,0,294332,294334,3
618,4,294335,294341,7
619,0,294342,294342,1
620,4,294343,294344,2
621,0,294345,294345,1
622,4,294346,294346,1
623,0,294347,294351,5
624,4,294352,294352,1
625,0,294353,294354,2
626,4,294355,294355,1
627,0,294356,294359,4
628,4,294360,294361,2
629,0,294362,294366,5
630,4,294367,294367,1
631,0,294368,294369,2
632,4,294370,294370,1
633,0,294371,294374,4
634,4,294375,294375,1
635,0,294376,294380,5
636,4,294381,294381,1
637,0,294382,294382,1
638,4,294383,294386,4
639,0,294387,294389,3
640,4,294390,294390,1
641,0,294391,294396,6
642,4,294397,294398,2
643,0,294399,294402,4
644,4,294403,294403,1
645,0,294404,294405,2
646,4,294406,294406,1
647,0,294407,294411,5
648,4,294412,294412,1
649,0,294413,294429,17
650,4,294430,294430,1
651,0,294431,294443,13
652,4,294444,294444,1
653,0,294445,294459,15
654,4,294460,294460,1
655,0,294461,294474,14
656,4,294475,294476,2
657,0,294477,294496,20
658,4,294497,294497,1
659,0,294498,294597,100
660,4,294598,294598,1
661,0,294599,294601,3
662,4,294602,294602,1
663,0,294603,296004,1402
664,4,296005,297235,1231
665,0,297236,307430,10195
666,4,307431,307431,1
667,0,307432,307432,1
668,4,307433,307433,1
669,0,307434,307434,1
670,4,307435,307435,1
671,0,307436,307436,1
672,4,307437,307440,4
673,0,307441,307441,1
674,4,307442,309081,1640
675,0,309082,311805,2724
676,4,311806,311808,3
677,0,311809,311811,3
678,4,311812,317564,5753
679,0,317565,317596,32
680,4,317597,317630,34
681,0,317631,317659,29
682,4,317660,318024,365
683,0,318025,318025,1
684,4,318026,318027,2
685,0,318028,318028,1
686,4,318029,318035,7
687,0,318036,318036,1
688,4,318037,318037,1
689,0,318038,318040,3
690,4,318041,318043,3
691,0,318044,318044,1
692,4,318045,318052,8
693,0,318053,318053,1
694,4,318054,318054,1
695,0,318055,318055,1
696,4,318056,318057,2
697,0,318058,318058,1
698,4,318059,318066,8
699,0,318067,318067,1
700,4,318068,318069,2
701,0,318070,318070,1
702,4,318071,318071,1
703,0,318072,318072,1
704,4,318073,318077,5
705,0,318078,318079,2
706,4,318080,318083,4
707,0,318084,318085,2
708,4,318086,318087,2
709,0,318088,318089,2
710,4,318090,318091,2
711,0,318092,318099,8
712,4,318100,318100,1
713,0,318101,318104,4
714,4,318105,318105,1
715,0,318106,372746,54641
716,4,372747,372747,1
717,0,372748,372755,8
718,4,372756,372757,2
719,0,372758,372760,3
720,4,372761,372761,1
721,0,372762,372763,2
722,4,372764,372764,1
723,0,372765,372779,15
724,4,372780,372781,2
725,0,372782,372782,1
726,4,372783,372790,8
727,0,372791,372793,3
728,4,372794,372799,6
729,0,372800,372800,1
730,4,372801,372860,60
731,0,372861,372863,3
732,4,372864,372864,1
733,0,372865,372869,5
734,4,372870,372870,1
735,0,372871,372890,20
736,4,372891,372891,1
737,0,372892,372901,10
738,4,372902,372902,1
739,0,372903,372904,2
740,4,372905,372905,1
741,0,372906,372917,12
742,4,372918,372993,76
743,0,372994,372998,5
744,4,372999,372999,1
745,0,373000,373044,45
746,4,373045,373045,1
747,0,373046,373046,1
748,4,373047,376969,3923
749,0,376970,376970,1
750,4,376971,376971,1
751,0,376972,376972,1
752,4,376973,376973,1
753,0,376974,376974,1
754,4,376975,376975,1
755,0,376976,376976,1
756,4,376977,376978,2
757,0,376979,376979,1
758,4,376980,376980,1
759,0,376981,376983,3
760,4,376984,376984,1
761,0,376985,377010,26
762,4,377011,377011,1
763,0,377012,377012,1
764,4,377013,377013,1
765,0,377014,377014,1
766,4,377015,377015,1
767,0,377016,377018,3
768,4,377019,377019,1
769,0,377020,377021,2
770,4,377022,377022,1
771,0,377023,377031,9
772,4,377032,377032,1
773,0,377033,377038,6
774,4,377039,377039,1
775,0,377040,377051,12
776,4,377052,377052,1
777,0,377053,377058,6
778,4,377059,377059,1
779,0,377060,377062,3
780,4,377063,377063,1
781,0,377064,377078,15
782,4,377079,377079,1
783,0,377080,377084,5
784,4,377085,377085,1
785,0,377086,377114,29
786,4,377115,377119,5
787,0,377120,379482,2363
788,4,379483,379483,1
789,0,379484,380132,649
790,4,380133,380133,1
791,0,380134,381521,1388
792,4,381522,381522,1
793,0,381523,382172,650
794,4,382173,382173,1
795,0,382174,382174,1
796,4,382175,382699,525
797,0,382700,389046,6347
798,4,389047,389047,1
799,0,389048,393989,4942
800,4,393990,393990,1
801,0,393991,393991,1
802,4,393992,393992,1
803,0,393993,393995,3
804,4,393996,393998,3
805,0,393999,393999,1
806,4,394000,395803,1804
807,0,395804,398292,2489
808,4,398293,398293,1
809,0,398294,398296,3
810,4,398297,398300,4
811,0,398301,398301,1
812,4,398302,400726,2425
813,0,400727,400727,1
814,4,400728,404482,3755
815,0,404483,404483,1
816,4,404484,404496,13
817,0,404497,404498,2
818,4,404499,404499,1
819,0,404500,404504,5
820,4,404505,404505,1
821,0,404506,459560,55055
822,4,459561,459561,1
823,0,459562,459573,12
824,4,459574,459574,1
825,0,459575,459588,14
826,4,459589,459589,1
827,0,459590,459591,2
828,4,459592,459593,2
829,0,459594,459594,1
830,4,459595,459598,4
831,0,459599,459599,1
832,4,459600,459612,13
833,0,459613,459614,2
834,4,459615,459622,8
835,0,459623,459623,1
836,4,459624,460117,494
837,0,460118,460118,1
838,4,460119,462899,2781
839,0,462900,462900,1
840,4,462901,462901,1
841,0,462902,462906,5
842,4,462907,462907,1
843,0,462908,464462,1555
844,4,464463,464463,1
845,0,464464,466436,1973
846,4,466437,466438,2
847,0,466439,466959,521
848,4,466960,466960,1
849,0,466961,479363,12403
850,4,479364,479365,2
851,0,479366,480460,1095
852,4,480461,480461,1
853,0,480462,480473,12
854,4,480474,480474,1
855,0,480475,480476,2
856,4,480477,480477,1
857,0,480478,480479,2
858,4,480480,480480,1
859,0,480481,480481,1
860,4,480482,480482,1
861,0,480483,480484,2
862,4,480485,482218,1734
863,0,482219,484173,1955
864,4,484174,484174,1
865,0,484175,484208,34
866,4,484209,484209,1
867,0,484210,484739,530
868,4,484740,484740,1
869,0,484741,484741,1
870,4,484742,484743,2
871,0,484744,484744,1
872,4,484745,490469,5725
873,0,490470,490470,1
874,4,490471,490472,2
875,0,490473,490473,1
876,4,490474,490474,1
877,0,490475,490475,1
878,4,490476,490476,1
879,0,490477,490478,2
880,4,490479,490479,1
881,0,490480,490482,3
882,4,490483,490483,1
883,0,490484,490495,12
884,4,490496,490496,1
885,0,490497,490498,2
886,4,490499,490499,1
887,0,490500,490500,1
888,4,490501,490504,4
889,0,490505,490505,1
890,4,490506,490510,5
891,0,490511,490511,1
892,4,490512,490522,11
893,0,490523,490523,1
894,4,490524,490542,19
895,0,490543,490543,1
896,4,490544,490554,11
897,0,490555,490555,1
898,4,490556,490556,1
899,0,490557,490557,1
900,4,490558,490559,2
901,0,490560,490560,1
902,4,490561,490562,2
903,0,490563,490563,1
904,4,490564,490576,13
905,0,490577,490577,1
906,4,490578,490606,29
907,0,490607,490607,1
908,4,490608,490611,4
909,0,490612,490612,1
910,4,490613,490631,19
911,0,490632,490639,8
912,4,490640,490640,1
913,0,490641,490764,124
914,4,490765,490765,1
915,0,490766,490807,42
916,4,490808,490808,1
917,0,490809,490810,2
918,4,490811,490811,1
919,0,490812,490812,1
920,4,490813,490814,2
921,0,490815,490825,11
922,4,490826,490827,2
923,0,490828,490835,8
924,4,490836,490836,1
925,0,490837,490843,7
926,4,490844,490844,1
927,0,490845,490853,9
928,4,490854,490855,2
929,0,490856,542789,51934
930,4,542790,545978,3189
931,0,545979,547422,1444
932,4,547423,547423,1
933,0,547424,547702,279
934,4,547703,547703,1
935,0,547704,547704,1
936,4,547705,547705,1
937,0,547706,547706,1
938,4,547707,547709,3
939,0,547710,547711,2
940,4,547712,547712,1
941,0,547713,547713,1
942,4,547714,547723,10
943,0,547724,547724,1
944,4,547725,549291,1567
945,0,549292,549292,1
946,4,549293,549296,4
947,0,549297,549297,1
948,4,549298,549298,1
949,0,549299,549299,1
950,4,549300,549304,5
951,0,549305,549305,1
952,4,549306,549308,3
953,0,549309,549311,3
954,4,549312,549312,1
955,0,549313,549313,1
956,4,549314,549314,1
957,0,549315,549317,3
958,4,549318,549319,2
959,0,549320,549322,3
960,4,549323,549323,1
961,0,549324,549331,8
962,4,549332,549332,1
963,0,549333,549368,36
964,4,549369,549369,1
965,0,549370,549794,425
966,4,549795,549795,1
967,0,549796,554422,4627
968,4,554423,554423,1
969,0,554424,557100,2677
970,4,557101,557101,1
971,0,557102,566297,9196
972,4,566298,566298,1
973,0,566299,566300,2
974,4,566301,566301,1
975,0,566302,566304,3
976,4,566305,568413,2109
977,0,568414,569743,1330
978,4,569744,569744,1
979,0,569745,570418,674
980,4,570419,570419,1
981,0,570420,570422,3
982,4,570423,570423,1
983,0,570424,570426,3
984,4,570427,576809,6383
985,0,576810,576810,1
986,4,576811,576992,182
987,0,576993,576993,1
988,4,576994,577001,8
989,0,577002,577002,1
990,4,577003,577004,2
991,0,577005,577005,1
992,4,577006,577013,8
993,0,577014,577014,1
994,4,577015,577021,7
995,0,577022,577022,1
996,4,577023,577023,1
997,0,577024,577025,2
998,4,577026,577030,5
999,0,577031,577031,1
1000,4,577032,577032,1
1001,0,577033,577035,3
1002,4,577036,577036,1
1003,0,577037,577039,3
1004,4,577040,577040,1
1005,0,577041,577041,1
1006,4,577042,577043,2
1007,0,577044,577046,3
1008,4,577047,577047,1
1009,0,577048,577049,2
1010,4,577050,577050,1
1011,0,577051,577051,1
1012,4,577052,577052,1
1013,0,577053,577057,5
1014,4,577058,577064,7
1015,0,577065,577067,3
1016,4,577068,577068,1
1017,0,577069,577069,1
1018,4,577070,577073,4
1019,0,577074,577075,2
1020,4,577076,577082,7
1021,0,577083,577084,2
1022,4,577085,577085,1
1023,0,577086,577089,4
1024,4,577090,577091,2
1025,0,577092,577092,1
1026,4,577093,577097,5
1027,0,577098,577098,1
1028,4,577099,577103,5
1029,0,577104,577105,2
1030,4,577106,577106,1
1031,0,577107,577107,1
1032,4,577108,577110,3
1033,0,577111,577111,1
1034,4,577112,577120,9
1035,0,577121,577123,3
1036,4,577124,577124,1
1037,0,577125,577125,1
1038,4,577126,577129,4
1039,0,577130,577130,1
1040,4,577131,577134,4
1041,0,577135,577138,4
1042,4,577139,577139,1
1043,0,577140,577163,24
1044,4,577164,577164,1
1045,0,577165,577181,17
1046,4,577182,577182,1
1047,0,577183,577188,6
1048,4,577189,577189,1
1049,0,577190,577245,56
1050,4,577246,577246,1
1051,0,577247,577252,6
1052,4,577253,577253,1
1053,0,577254,577257,4
1054,4,577258,577258,1
1055,0,577259,577275,17
1056,4,577276,577276,1
1057,0,577277,577280,4
1058,4,577281,577282,2
1059,0,577283,577286,4
1060,4,577287,577288,2
1061,0,577289,577289,1
1062,4,577290,577290,1
1063,0,577291,577295,5
1064,4,577296,577296,1
1065,0,577297,577298,2
1066,4,577299,577299,1
1067,0,577300,577310,11
1068,4,577311,577311,1
1069,0,577312,577312,1
1070,4,577313,577313,1
1071,0,577314,577320,7
1072,4,577321,577321,1
1073,0,577322,577360,39
1074,4,577361,577361,1
1075,0,577362,629082,51721
1076,4,629083,629084,2
1077,0,629085,629086,2
1078,4,629087,631592,2506
1079,0,631593,631593,1
1080,4,631594,631653,60
1081,0,631654,631654,1
1082,4,631655,631755,101
1083,0,631756,631756,1
1084,4,631757,631936,180
1085,0,631937,631937,1
1086,4,631938,632324,387
1087,0,632325,634185,1861
1088,4,634186,634186,1
1089,0,634187,634192,6
1090,4,634193,634193,1
1091,0,634194,634196,3
1092,4,634197,634197,1
1093,0,634198,634198,1
1094,4,634199,634199,1
1095,0,634200,634200,1
1096,4,634201,635687,1487
1097,0,635688,635688,1
1098,4,635689,635694,6
1099,0,635695,635695,1
1100,4,635696,635696,1
1101,0,635697,635700,4
1102,4,635701,635701,1
1103,0,635702,635703,2
1104,4,635704,635706,3
1105,0,635707,635712,6
1106,4,635713,635713,1
1107,0,635714,635725,12
1108,4,635726,635726,1
1109,0,635727,652641,16915
1110,4,652642,652642,1
1111,0,652643,652643,1
1112,4,652644,652644,1
1113,0,652645,652645,1
1114,4,652646,652646,1
1115,0,652647,652647,1
1116,4,652648,652648,1
1117,0,652649,652649,1
1118,4,652650,652651,2
1119,0,652652,652652,1
1120,4,652653,652655,3
1121,0,652656,652656,1
1122,4,652657,652663,7
1123,0,652664,652664,1
1124,4,652665,652717,53
1125,0,652718,652718,1
1126,4,652719,655203,2485
1127,0,655204,656767,1564
1128,4,656768,656768,1
1129,0,656769,656771,3
1130,4,656772,656772,1
1131,0,656773,656775,3
1132,4,656776,656776,1
1133,0,656777,656780,4
1134,4,656781,656784,4
1135,0,656785,656785,1
1136,4,656786,658371,1586
1137,0,658372,658373,2
1138,4,658374,659410,1037
1139,0,659411,659411,1
1140,4,659412,660563,1152
1141,0,660564,660564,1
1142,4,660565,660566,2
